# Ice refractive index from Warren (1984) Optical constants of ice
# from the ultraviolet to the microwave, Appl. Optics, 23,
# 11,906-11,926, 1984.
#
# Wavelength (microns) 	 real  imaginary
   1.39000e+00   1.29410e+00   1.74000e-05
   1.40000e+00   1.29380e+00   1.98000e-05
   1.41000e+00   1.29360e+00   2.50000e-05
   1.42000e+00   1.29330e+00   5.40000e-05
   1.43000e+00   1.29300e+00   1.04000e-04
   1.44000e+00   1.29270e+00   2.03000e-04
   1.44900e+00   1.29250e+00   2.70800e-04
   1.46000e+00   1.29230e+00   3.51100e-04
   1.47100e+00   1.29210e+00   4.29900e-04
   1.48100e+00   1.29190e+00   5.18100e-04
   1.49300e+00   1.29170e+00   5.85500e-04
   1.50400e+00   1.29150e+00   5.89900e-04
   1.51500e+00   1.29130e+00   5.63500e-04
   1.52700e+00   1.29110e+00   5.48000e-04
   1.53800e+00   1.29080e+00   5.26600e-04
   1.56300e+00   1.29030e+00   4.39400e-04
   1.58700e+00   1.28960e+00   3.70100e-04
   1.61300e+00   1.28890e+00   3.37200e-04
   1.65000e+00   1.28780e+00   2.41000e-04
   1.68000e+00   1.28690e+00   1.89000e-04
   1.70000e+00   1.28620e+00   1.66000e-04
   1.73000e+00   1.28520e+00   1.45000e-04
   1.76000e+00   1.28410e+00   1.28000e-04
   1.80000e+00   1.28260e+00   1.03000e-04
   1.83000e+00   1.28140e+00   8.60000e-05
   1.84000e+00   1.28090e+00   8.22000e-05
   1.85000e+00   1.28050e+00   8.03000e-05
   1.85500e+00   1.28020e+00   8.50000e-05
   1.86000e+00   1.28000e+00   9.90000e-05
   1.87000e+00   1.27950e+00   1.50000e-04 
   1.89000e+00   1.27850e+00   2.95000e-04 
   1.90500e+00   1.27770e+00   4.68700e-04 
   1.92300e+00   1.27690e+00   7.61500e-04 
   1.94200e+00   1.27610e+00   1.01000e-03
   1.96100e+00   1.27540e+00   1.31300e-03
   1.98000e+00   1.27470e+00   1.53900e-03
   2.00000e+00   1.27400e+00   1.58800e-03
   2.02000e+00   1.27330e+00   1.54000e-03
   2.04100e+00   1.27240e+00   1.41200e-03
   2.06200e+00   1.27140e+00   1.24400e-03
   2.08300e+00   1.27030e+00   1.06800e-03
   2.10500e+00   1.26900e+00   8.41400e-04
   2.13000e+00   1.26740e+00   5.65000e-04
   2.15000e+00   1.26590e+00   4.32000e-04
   2.17000e+00   1.26440e+00   3.50000e-04
   2.19000e+00   1.26280e+00   2.87000e-04
   2.22000e+00   1.26040e+00   2.21000e-04
   2.24000e+00   1.25860e+00   2.03000e-04
   2.24500e+00   1.25820e+00   2.01000e-04
   2.25000e+00   1.25770e+00   2.03000e-04
   2.26000e+00   1.25670e+00   2.14000e-04
   2.27000e+00   1.25580e+00   2.32000e-04
   2.29000e+00   1.25380e+00   2.89000e-04
   2.31000e+00   1.25180e+00   3.81000e-04
   2.33000e+00   1.24970e+00   4.62000e-04
   2.35000e+00   1.24750e+00   5.48000e-04
   2.37000e+00   1.24510e+00   6.18000e-04
   2.39000e+00   1.24270e+00   6.80000e-04
   2.41000e+00   1.24000e+00   7.30000e-04
   2.43000e+00   1.23730e+00   7.82000e-04
   2.46000e+00   1.23270e+00   7.82000e-04
   2.50000e+00   1.22580e+00   9.25000e-04
   2.52000e+00   1.22200e+00   9.20000e-04
   2.55000e+00   1.21550e+00   8.92000e-04
   2.56500e+00   1.21180e+00   8.70000e-04
   2.58000e+00   1.20790e+00   8.90000e-04
   2.60000e+00   1.20210e+00   1.01000e-03
   2.62000e+00   1.19570e+00   1.35000e-03
   2.67500e+00   1.17410e+00   3.42000e-03
   2.72500e+00   1.14730e+00   7.92000e-03
   2.77800e+00   1.10770e+00   2.00000e-02
   2.81700e+00   1.06740e+00   3.80000e-02
   2.83300e+00   1.04760e+00   5.20000e-02
   2.84900e+00   1.02650e+00   6.80000e-02
   2.86500e+00   1.00360e+00   9.23000e-02
   2.88200e+00   9.82000e-01   1.27000e-01
   2.89900e+00   9.65000e-01   1.69000e-01
   2.91500e+00   9.59600e-01   2.21000e-01
   2.93300e+00   9.72700e-01   2.76000e-01
   2.95000e+00   9.91700e-01   3.12000e-01
   2.96700e+00   1.00670e+00   3.47000e-01
   2.98500e+00   1.02190e+00   3.88000e-01
   3.00300e+00   1.04270e+00   4.38000e-01
   3.02100e+00   1.07600e+00   4.93000e-01
   3.04000e+00   1.12950e+00   5.54000e-01
   3.05800e+00   1.21270e+00   6.12000e-01
   3.07700e+00   1.32510e+00   6.25000e-01
   3.09600e+00   1.42600e+00   5.93000e-01
   3.11500e+00   1.49660e+00   5.39000e-01
   3.13500e+00   1.55100e+00   4.91000e-01
   3.15500e+00   1.59990e+00   4.38000e-01
   3.17500e+00   1.63630e+00   3.72000e-01
   3.19500e+00   1.65020e+00   3.00000e-01
   3.21500e+00   1.64280e+00   2.38000e-01
   3.23600e+00   1.62690e+00   1.93000e-01
   3.25700e+00   1.61280e+00   1.58000e-01
   3.27900e+00   1.59240e+00   1.21000e-01
   3.30000e+00   1.57330e+00   1.03000e-01
   3.32200e+00   1.55770e+00   8.36000e-02
   3.34500e+00   1.54130e+00   6.68000e-02
   3.36700e+00   1.52650e+00   5.40000e-02
